province,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ha Noi,2974,2900,3174,3335,3502,3530,3846,3160,3937,4714,4885
Vinh Phuc,578,700,711,738,747,797,1066,947,1125,1302,1350
Bac Ninh,706,720,795,703,823,867,875,760,889,1018,1048
Quang Ninh,770,771,748,941,941,941,1012,966,1090,1213,1242
Hai Duong,839,864,941,930,1058,1084,1041,1084,1270,1456,1494
Hai Phong,1403,1416,2044,1471,1448,1507,1525,1160,1377,1593,1613
Hung Yen,562,582,775,614,650,712,878,835,793,751,778
Thai Binh,1474,1522,1774,1179,1319,1319,1439,1332,1401,1469,1485
Ha Nam,493,492,624,483,479,483,431,427,468,508,507
Nam Dinh,955,984,1083,1014,987,985,954,812,883,953,953
Ninh Binh,591,528,665,477,455,553,684,768,848,928,949
Ha Giang,439,418,491,459,594,640,857,804,867,930,968
Cao Bang,485,497,524,518,585,594,677,797,780,762,789
Bac Kan,453,355,472,339,383,397,457,471,496,520,536
Tuyen Quang,444,455,471,458,473,494,513,433,448,462,469
Lao Cai,427,451,498,495,549,574,591,538,634,730,754
Yen Bai,548,534,533,536,430,473,609,663,747,830,847
Thai Nguyen,771,848,816,891,908,942,1082,1179,1321,1463,1499
Lang Son,592,610,708,599,686,613,693,649,710,770,782
Bac Giang,1031,1055,1448,1115,1250,1336,1400,1322,1373,1424,1468
Phu Tho,814,889,989,831,1090,1180,1212,1132,1397,1662,1718
Dien Bien,273,299,352,426,471,558,585,596,645,693,731
Lai Chau,163,201,259,372,407,349,385,344,387,430,445
Son La,571,571,773,605,631,673,756,737,861,984,1015
Hoa Binh,679,559,492,507,596,549,660,921,823,725,752
Thanh Hoa,1747,1881,1991,2073,2286,2339,2405,2152,2557,2961,3037
Nghe An,1361,1397,1596,1465,1504,1572,1613,1838,2144,2450,2519
Ha Tinh,689,722,762,743,786,833,916,899,988,1076,1107
Quang Binh,413,451,499,460,508,556,586,551,631,711,726
Quang Tri,386,411,455,434,450,497,551,439,530,620,634
Thua Thien-Hue,668,675,522,550,611,620,597,595,630,665,670
Da Nang,723,746,259,207,959,1028,960,765,1103,1441,1466
Quang Nam,670,634,701,690,739,777,906,846,1000,1154,1175
Quang Ngai,545,581,626,612,665,728,792,772,849,925,947
Binh Dinh,753,773,779,811,774,794,891,837,908,979,995
Phu Yen,427,474,464,440,414,387,442,427,485,543,544
Khanh Hoa,586,616,635,654,618,633,695,602,705,807,819
Ninh Thuan,306,298,429,318,391,426,431,400,424,448,462
Binh Thuan,562,598,616,611,619,638,643,655,655,655,665
Kon Tum,156,354,385,422,439,460,462,416,466,516,538
Gia Lai,743,840,587,620,743,826,840,793,941,1088,1124
Dak Lak,954,946,1093,1077,1095,1192,1172,1118,1168,1217,1248
Dak Nong,227,258,273,334,365,359,376,259,375,491,509
Lam Dong,546,582,681,665,702,789,814,769,815,861,882
Binh Phuoc,413,343,348,399,414,426,503,476,525,574,590
Tay Ninh,438,456,512,399,361,377,371,407,409,410,403
Binh Duong,533,425,643,438,414,471,496,729,877,1024,1049
Dong Nai,979,1079,1331,1260,1363,1292,1391,1360,1609,1858,1923
Ba Ria-Vung Tau,478,478,478,460,462,489,544,468,439,409,412
Ho Chi Minh City,6073,6360,7792,6992,6995,7072,7417,5243,7284,9325,9577
Long An,667,751,752,711,805,855,910,864,955,1045,1074
Tien Giang,809,824,812,845,843,900,933,868,941,1014,1037
Ben Tre,980,708,1044,735,718,765,795,764,789,813,824
Tra Vinh,499,507,526,522,438,481,530,1063,923,782,811
Vinh Long,498,532,990,525,572,606,629,662,674,686,707
Dong Thap,799,883,905,960,951,1020,1179,963,1013,1063,1094
An Giang,930,907,1043,954,1011,1020,1047,1636,1455,1273,1310
Kien Giang,826,907,963,961,1007,1024,1055,988,1134,1279,1318
Can Tho,653,718,1607,789,838,847,776,1293,1477,1660,1709
Hau Giang,321,321,379,391,421,411,439,474,495,515,532
Soc Trang,490,499,525,551,560,611,654,567,722,876,898
Bac Lieu,433,506,559,575,602,616,653,626,703,779,803
Ca Mau,717,738,801,886,918,918,905,958,1011,1064,1102
