province,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ha Noi,6639.09,6825.82,6991.43,7128.39,7285.53,7433.6,7590.8,7742.2,7914.5,8093.9,8246.54
Vinh Phuc,1014.83,1029.5,1047.39,1061.5,1076.82,1090.4,1106.1,1123.1,1138.4,1154.8,1171.23
Bac Ninh,1045.92,1072.38,1104.69,1139.89,1177.06,1218.5,1257.9,1297.8,1337.3,1378.6,1419.13
Quang Ninh,1163.95,1181.53,1198.39,1209.58,1227.67,1241.6,1261.2,1285.2,1303.9,1324.8,1337.61
Hai Duong,1722.77,1747.83,1767.83,1779.67,1795.79,1812.8,1832.8,1850.6,1877.7,1896.9,1916.77
Hai Phong,1862.85,1886.2,1912.94,1932.17,1950.71,1969.5,1985.3,2001.4,2016.4,2033.3,2053.49
Hung Yen,1139.42,1150.74,1162.91,1175.52,1188.65,1202,1215.5,1228.8,1242.4,1255.8,1269.09
Thai Binh,1790.88,1798.66,1806.48,1815.04,1822.43,1830.3,1838.1,1846.1,1854.1,1862.2,1870.24
Ha Nam,791.4,795.65,800.81,807.44,815.07,824.3,832.2,839.8,847.1,854.5,861.83
Nam Dinh,1822.35,1816.81,1811.5,1806.41,1801.54,1796.9,1792.5,1788.2,1784.2,1780.9,1780.33
Ninh Binh,904.36,911.69,920.99,930.03,939.31,948.5,956.8,965.4,974.7,984.5,993.92
Ha Giang,737.77,749.54,763.5,778.96,792.47,806.7,820.4,833.7,846.5,858.1,870.24
Cao Bang,512.54,514.02,515.88,517.85,519.87,522,524.2,526.4,528.7,530.9,533.09
Bac Kan,296.62,298.69,300.8,301.73,302.94,305.6,307.7,309.9,312,314.4,316.46
Tuyen Quang,729.75,733.6,738.53,743.37,749.59,756.2,763.4,770.5,778.3,786.3,792.9
Lao Cai,626.92,638.15,649.51,661,672.64,684.5,696.5,708.6,720.8,733.3,746.36
Yen Bai,751.29,758.65,765.69,774.58,783.53,793.1,800.3,807.3,814.6,823,831.59
Thai Nguyen,1131.28,1139.44,1149.08,1155.99,1198.17,1230.8,1242.8,1256.1,1273.6,1290.9,1307.87
Lang Son,736.29,740.91,745.13,748.94,752.59,757.8,763.4,768.7,775.9,782.8,788.71
Bac Giang,1569.14,1586.02,1607.77,1630.65,1646.86,1667,1696.9,1736.8,1777.5,1810.4,1841.62
Phu Tho,1322.65,1329.34,1340.81,1355.24,1373.67,1392.3,1409,1430.5,1449.6,1466.4,1481.88
Dien Bien,501.75,512.8,523.88,534.97,546.06,557.1,568.3,579.4,590.5,601.7,613.48
Lai Chau,381.2,392.88,402.95,414.55,421.46,427.9,436.3,444.5,453.4,462.6,469.81
Son La,1097.52,1115.21,1129.87,1143.91,1159.74,1177.4,1194.9,1213.4,1233.1,1252.7,1270.56
Hoa Binh,794.22,802.18,808.43,812.75,819.62,828.6,837,845,850.4,855.8,861.22
Thanh Hoa,3415.79,3427.59,3449.44,3484.77,3507.09,3537,3570.8,3603.7,3631.3,3645.8,3664.94
Nghe An,2954.73,2996.14,3035.99,3076.38,3116.33,3160.6,3203.1,3246.7,3291.4,3337.2,3365.2
Ha Tinh,1232.66,1236.71,1242.09,1247.56,1255.25,1261.3,1266.7,1274.2,1280.5,1290.3,1296.62
Quang Binh,849.46,854.57,859.79,865.02,870.49,875.6,880.6,885.7,891.1,896.6,901.98
Quang Tri,601.57,604.72,607.77,611,614.37,617.9,621.6,625.4,629.7,633.4,637.26
Thua Thien-Hue,1092.94,1100.77,1105.78,1109.8,1111.58,1114.7,1118,1123.4,1125.4,1129.5,1133.71
Da Nang,937.22,968.65,996.29,1017.33,1033.93,1056.3,1080.3,1097.8,1114.4,1141.1,1169.48
Quang Nam,1429.72,1436.83,1443.98,1451.37,1459.79,1468.2,1475.7,1483.3,1490.8,1497.5,1505.04
Quang Ngai,1218.7,1220.12,1221.83,1223.05,1224.52,1226.2,1227.5,1228.9,1230.5,1231.9,1233.4
Binh Dinh,1487.42,1487.46,1487.51,1487.55,1487.6,1487.6,1487.7,1487.7,1487.8,1487.8,1487.9
Phu Yen,863.15,863.96,864.87,865.28,865.67,866.2,868.2,870,871.5,873.2,874.3
Khanh Hoa,1161.95,1170.24,1177.6,1184.92,1192.15,1198.4,1207.2,1216.3,1224.5,1232.8,1240.44
Ninh Thuan,566.87,567.85,571.31,573.28,575.42,578.3,581.5,585.4,588.9,591,593.64
Binh Thuan,1174.71,1180.68,1189.59,1194.66,1197.26,1205.4,1213.6,1220.5,1227.3,1232.3,1239.26
Kon Tum,442.11,451.61,462.71,473.25,484.22,495.9,507.8,520.1,532.4,543.4,555.64
Gia Lai,1308.85,1336.1,1359.97,1382.97,1403.13,1426.4,1447.2,1468.9,1495.7,1520.2,1541.83
Dak Lak,1748.56,1760.42,1777.26,1794.56,1805.83,1820.1,1836.4,1850.3,1861.5,1872.6,1886.94
Dak Nong,503.32,512.67,529.37,548.1,564.96,580.5,594.4,604.9,615.4,625.8,637.91
Lam Dong,1203.49,1217.24,1228.71,1239.86,1251.07,1261.4,1271.3,1281.3,1291.4,1299.3,1309.79
Binh Phuoc,885.13,899.57,911.35,923.49,934.37,947.2,962.7,972.6,984.9,997.8,1011.08
Tay Ninh,1076.49,1090.06,1103.41,1111.4,1120.73,1129.9,1139.6,1151.1,1160.7,1171.7,1178.33
Binh Duong,1618.13,1699.93,1789.71,1873.48,1977.84,2069.2,2138.8,2227.2,2345.2,2456.3,2580.55
Dong Nai,2577.79,2661.78,2719.05,2771.42,2831.29,2890,2951.4,3004.9,3055.1,3113.7,3177.4
Ba Ria-Vung Tau,1019.57,1040.8,1057.84,1076.85,1093.37,1104.3,1117.6,1127.2,1138.3,1152.2,1167.94
Ho Chi Minh City,7401.78,7613.43,7789.87,7974.02,8135.91,8307.9,8479.1,8649.6,8843.2,9038.6,9227.6
Long An,1469.24,1504.08,1549.76,1587.85,1611.7,1626.2,1645.2,1662.3,1678.9,1695.1,1713.66
Tien Giang,1677.99,1682.6,1692.46,1705.77,1716.09,1728.7,1740.1,1751.8,1759.1,1766.3,1772.54
Ben Tre,1259.39,1262.66,1266.73,1269.72,1272.51,1275.8,1278.6,1282.4,1286,1289.1,1292.4
Tra Vinh,1003.78,1004.35,1005.12,1005.62,1006.24,1006.9,1007.6,1008.1,1008.8,1009.3,1009.94
Vinh Long,1025.61,1024.85,1022.6,1023.84,1023.75,1023.2,1022.8,1022.6,1022.7,1022.6,1022.97
Dong Thap,1660.41,1653.23,1646.17,1639.21,1632.37,1625.6,1619,1612.5,1606.1,1598.8,1600.01
An Giang,2122.44,2097.54,2077.94,2051.62,2024.59,2000.9,1976.4,1954.2,1931,1907.4,1904.53
Kien Giang,1690.74,1694.45,1698.15,1701.11,1703.4,1705.4,1708.7,1712.9,1718.1,1723.7,1728.87
Can Tho,1192.3,1195.93,1200.93,1203.23,1205.72,1208.5,1214.6,1222.4,1227.7,1236,1240.73
Hau Giang,755.34,752.73,750.73,747.88,744.95,742.4,740.1,737.3,734.9,732.2,729.78
Soc Trang,1283.51,1273.93,1266.42,1254.98,1245.61,1236.3,1227.6,1218.3,1208.8,1199.5,1195.74
Bac Lieu,861.84,866.87,872.14,877.04,882.16,887.3,892.8,897.7,903,908.2,913.48
Ca Mau,1205.84,1204.5,1203.46,1202.07,1200.74,1199.5,1198.1,1197,1195.6,1194.3,1193.89
