province,year,q1,q2,q3,q4,q5
Ha Noi,2010,542,981,1470,2239,4834
Vinh Phuc,2010,419,684,995,1395,2659
Bac Ninh,2010,534,918,1231,1637,3899
Quang Ninh,2010,471,975,1522,2152,3812
Hai Duong,2010,441,811,1125,1512,2634
Hai Phong,2010,510,865,1219,1806,4069
Hung Yen,2010,420,740,1006,1328,2490
Thai Binh,2010,409,683,930,1239,2384
Ha Nam,2010,418,691,938,1243,2456
Nam Dinh,2010,459,732,1019,1340,2635
Ninh Binh,2010,373,672,969,1375,2621
Ha Giang,2010,259,347,452,583,1413
Cao Bang,2010,225,337,459,705,2013
Bac Kan,2010,255,389,536,800,1898
Tuyen Quang,2010,293,478,729,1027,1910
Lao Cai,2010,280,409,537,751,2117
Yen Bai,2010,279,435,660,938,1904
Thai Nguyen,2010,357,571,839,1298,2668
Lang Son,2010,305,482,678,1046,2128
Bac Giang,2010,403,628,902,1245,2338
Phu Tho,2010,381,594,842,1210,2605
Dien Bien,2010,215,319,424,650,1444
Lai Chau,2010,216,289,360,484,1484
Son La,2010,258,428,634,935,1750
Hoa Binh,2010,265,425,614,924,1916
Thanh Hoa,2010,295,474,676,980,1773
Nghe An,2010,260,488,756,1138,1955
Ha Tinh,2010,278,450,645,899,1921
Quang Binh,2010,308,507,724,1068,2143
Quang Tri,2010,320,532,756,981,2162
Thua Thien-Hue,2010,328,636,875,1219,2232
Da Nang,2010,667,1024,1394,1981,4399
Quang Nam,2010,326,540,757,1079,1969
Quang Ngai,2010,321,522,724,1038,1935
Binh Dinh,2010,402,659,888,1223,2573
Phu Yen,2010,342,588,775,1111,2250
Khanh Hoa,2010,390,670,953,1373,2904
Ninh Thuan,2010,270,458,644,964,2395
Binh Thuan,2010,437,698,962,1340,2355
Kon Tum,2010,356,511,679,1034,2150
Gia Lai,2010,287,478,760,1262,2346
Dak Lak,2010,298,553,786,1228,2474
Dak Nong,2010,268,473,733,1199,2513
Lam Dong,2010,350,617,950,1464,2906
Binh Phuoc,2010,531,814,1129,1583,3565
Tay Ninh,2010,554,771,1005,1342,3494
Binh Duong,2010,980,1295,1755,2441,7014
Dong Nai,2010,576,1022,1450,1941,3823
Ba Ria-Vung Tau,2010,486,889,1216,1696,4173
Ho Chi Minh City,2010,965,1542,2018,2727,6429
Long An,2010,435,717,1006,1414,2873
Tien Giang,2010,432,719,1003,1430,2979
Ben Tre,2010,421,640,859,1208,2870
Tra Vinh,2010,336,549,778,1199,2571
Vinh Long,2010,455,719,983,1318,2717
Dong Thap,2010,335,635,869,1195,2650
